Lean_File,Route_Category,Primary_Purpose,Estimated_Declarations,Verification_Status,Mathematical_Area
AnalyticDebts.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
Asymptotic.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,Asymptotics
AsymptoticEnergy.lean,Supporting Theory,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
Audit.lean,Supporting Theory,Verification/Checking,1-3,✓ Lean-verified,General
BBLSAutocorrelation.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
BBLSPhiOne.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
BCFDeletedRectangleAssembly.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaper.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperAxiomClassicalResults.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperAxiomMobiusSummation.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,Number theory
BCFLogTaperAxiomVanDerCorput.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperAxiomWeilBound.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperBettinConreyAggregate.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperBettinConreyReciprocity.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperCancellationAnatomy.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperCofinalEnergy.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
BCFLogTaperContour.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Complex analysis,1-3,✓ Lean-verified,General
BCFLogTaperCotangentReduction.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,Trigonometric functions
BCFLogTaperEhm.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
